term_code,class_nbr,meeting_seq,component,section_code,days,start_time,end_time,period_raw,room_code,room_name,meeting_dates_raw,instructor,source_snapshot_id,captured_at
2420,7153,1,LEC,A,Mo,09:30AM,12:15PM,Mo 09:30AM - 12:15PM,CKB_LT3,,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",- Dr. SO Lok Kan,2026-08-15T01-53-13+08-00-full-term-1,
2420,7153,2,LEC,A,Mo,09:30AM,12:15PM,Mo 09:30AM - 12:15PM,CKB_LT3,,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",- Dr. SO Lok Kan,2026-08-15T01-53-13+08-00-full-term-1,
2420,5405,1,LEC,A,Th,02:30PM,05:15PM,Th 02:30PM - 05:15PM,ARC_G01,,"9/10, 9/17, 9/24",- Dr. BUTT Yiu Yu,2026-08-15T01-53-13+08-00-full-term-1,
2420,5405,2,LEC,A,Th,02:30PM,05:15PM,Th 02:30PM - 05:15PM,ARC_G01,,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",- Dr. BUTT Yiu Yu,2026-08-15T01-53-13+08-00-full-term-1,
2420,7154,1,LEC,B,Mo,03:30PM,06:15PM,Mo 03:30PM - 06:15PM,ELB_203,,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",- Dr. BUTT Yiu Yu,2026-08-15T01-53-13+08-00-full-term-1,
2420,7154,2,LEC,B,Mo,03:30PM,06:15PM,Mo 03:30PM - 06:15PM,ELB_203,,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",- Dr. BUTT Yiu Yu,2026-08-15T01-53-13+08-00-full-term-1,
2420,9764,1,LEC,A,Th,09:30AM,11:15AM,Th 09:30AM - 11:15AM,WMY_408,,"9/10, 9/17, 9/24",- Professor WU Fan,2026-08-15T01-53-13+08-00-full-term-1,
2420,9764,2,LEC,A,Th,09:30AM,11:15AM,Th 09:30AM - 11:15AM,WMY_408,,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",- Professor WU Fan,2026-08-15T01-53-13+08-00-full-term-1,
2420,9764,3,TUT,AT01,Th,11:30AM,12:15PM,Th 11:30AM - 12:15PM,WMY_408,,"9/10, 9/17, 9/24",- Professor WU Fan,2026-08-15T01-53-13+08-00-full-term-1,
2420,9764,4,TUT,AT01,Th,11:30AM,12:15PM,Th 11:30AM - 12:15PM,WMY_408,,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",- Professor WU Fan,2026-08-15T01-53-13+08-00-full-term-1,
2420,7710,1,PRJ,AJ01,We,12:30PM,02:15PM,We 12:30PM - 02:15PM,ARC_G02,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Professor XU Ruoxi,2026-08-15T01-53-13+08-00-full-term-1,
2420,7711,1,PRJ,BJ01,We,02:30PM,04:15PM,We 02:30PM - 04:15PM,ARC_G02,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Professor XU Ruoxi,2026-08-15T01-53-13+08-00-full-term-1,
2420,9628,1,LEC,A,We,09:30AM,12:15PM,We 09:30AM - 12:15PM,YIA_201,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Mr. LEUNG Yiu Wing Eric,2026-08-15T01-53-13+08-00-full-term-1,
2420,9629,1,LEC,B,Tu,10:30AM,01:15PM,Tu 10:30AM - 01:15PM,YIA_201,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Mr. LEUNG Yiu Wing Eric,2026-08-15T01-53-13+08-00-full-term-1,
2420,9521,1,LEC,C,Mo,09:30AM,12:15PM,Mo 09:30AM - 12:15PM,YIA_201,,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",- Mr. LEUNG Yiu Wing Eric,2026-08-15T01-53-13+08-00-full-term-1,
2420,9521,2,LEC,C,Mo,09:30AM,12:15PM,Mo 09:30AM - 12:15PM,YIA_201,,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",- Mr. LEUNG Yiu Wing Eric,2026-08-15T01-53-13+08-00-full-term-1,
2420,5653,1,LEC,A,Mo,12:30PM,03:15PM,Mo 12:30PM - 03:15PM,WMY_403,,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",- Professor ZHAO Meiling,2026-08-15T01-53-13+08-00-full-term-1,
2420,5653,2,LEC,A,Mo,12:30PM,03:15PM,Mo 12:30PM - 03:15PM,WMY_403,,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",- Professor ZHAO Meiling,2026-08-15T01-53-13+08-00-full-term-1,
2420,5845,1,LEC,B,Tu,03:30PM,06:15PM,Tu 03:30PM - 06:15PM,CYT_215,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Professor ZHAO Meiling,2026-08-15T01-53-13+08-00-full-term-1,
2420,9291,1,LEC,C,Tu,11:30AM,02:15PM,Tu 11:30AM - 02:15PM,WMY_303,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Professor ZHAO Meiling,2026-08-15T01-53-13+08-00-full-term-1,
2420,7079,1,LEC,A,Th,11:30AM,02:15PM,Th 11:30AM - 02:15PM,LSK_LT3,,"9/10, 9/17, 9/24",- Mr. LEUNG Yiu Wing Eric,2026-08-15T01-53-13+08-00-full-term-1,
2420,7079,2,LEC,A,Th,11:30AM,02:15PM,Th 11:30AM - 02:15PM,LSK_LT3,,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",- Mr. LEUNG Yiu Wing Eric,2026-08-15T01-53-13+08-00-full-term-1,
2420,9558,1,LEC,A,Th,02:30PM,05:15PM,Th 02:30PM - 05:15PM,ELB_205,,"9/10, 9/17, 9/24",- Professor XU Ruoxi,2026-08-15T01-53-13+08-00-full-term-1,
2420,9558,2,LEC,A,Th,02:30PM,05:15PM,Th 02:30PM - 05:15PM,ELB_205,,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",- Professor XU Ruoxi,2026-08-15T01-53-13+08-00-full-term-1,
2420,7160,1,LEC,A,Mo,03:30PM,06:15PM,Mo 03:30PM - 06:15PM,ARC_G04,,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",- Dr. GUAN Yanling,2026-08-15T01-53-13+08-00-full-term-1,
2420,7160,2,LEC,A,Mo,03:30PM,06:15PM,Mo 03:30PM - 06:15PM,ARC_G04,,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",- Dr. GUAN Yanling,2026-08-15T01-53-13+08-00-full-term-1,
2420,4729,1,PRA,AP01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Dr. SO Lok Kan,2026-08-15T01-53-13+08-00-full-term-1,
2420,7644,1,LEC,-,Tu,10:30AM,11:15AM,Tu 10:30AM - 11:15AM,ELB_303,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Professor XU Qiang,2026-08-15T01-53-13+08-00-full-term-1,
2420,7644,2,PRJ,-J01,Tu,11:30AM,12:15PM,Tu 11:30AM - 12:15PM,ELB_303,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Professor XU Qiang,2026-08-15T01-53-13+08-00-full-term-1,
2420,4810,1,LEC,-,We,09:30AM,10:15AM,We 09:30AM - 10:15AM,ERB_401,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Dr. CHAU Chuck Jee,2026-08-15T01-53-13+08-00-full-term-1,
2420,4810,2,LEC,-,Th,12:30PM,02:15PM,Th 12:30PM - 02:15PM,LHC_104,,"9/10, 9/17, 9/24",- Dr. CHAU Chuck Jee,2026-08-15T01-53-13+08-00-full-term-1,
2420,4810,3,LEC,-,Th,12:30PM,02:15PM,Th 12:30PM - 02:15PM,LHC_104,,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",- Dr. CHAU Chuck Jee,2026-08-15T01-53-13+08-00-full-term-1,
2420,4810,4,LAB,-L01,We,10:30AM,11:15AM,We 10:30AM - 11:15AM,ERB_401,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Dr. CHAU Chuck Jee,2026-08-15T01-53-13+08-00-full-term-1,
2420,9823,1,LEC,-,Mo,10:30AM,12:15PM,Mo 10:30AM - 12:15PM,BMS_LT,,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",- Professor Farzan FARNIA,2026-08-15T01-53-13+08-00-full-term-1,
2420,9823,2,LEC,-,Mo,10:30AM,12:15PM,Mo 10:30AM - 12:15PM,BMS_LT,,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",- Professor Farzan FARNIA,2026-08-15T01-53-13+08-00-full-term-1,
2420,9823,3,LEC,-,We,04:30PM,05:15PM,We 04:30PM - 05:15PM,SC_L3,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Professor Farzan FARNIA,2026-08-15T01-53-13+08-00-full-term-1,
2420,9823,4,TUT,-T01,We,03:30PM,04:15PM,We 03:30PM - 04:15PM,SC_L3,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Professor Farzan FARNIA,2026-08-15T01-53-13+08-00-full-term-1,
2420,7215,1,LEC,-,We,11:30AM,01:15PM,We 11:30AM - 01:15PM,SC_L4,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Professor LI Yu,2026-08-15T01-53-13+08-00-full-term-1,
2420,7215,2,LEC,-,Th,04:30PM,05:15PM,Th 04:30PM - 05:15PM,UCC_C3,,"9/10, 9/17, 9/24",- Professor LI Yu,2026-08-15T01-53-13+08-00-full-term-1,
2420,7215,3,LEC,-,Th,04:30PM,05:15PM,Th 04:30PM - 05:15PM,UCC_C3,,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",- Professor LI Yu,2026-08-15T01-53-13+08-00-full-term-1,
2420,7215,4,TUT,-T01,Th,05:30PM,06:15PM,Th 05:30PM - 06:15PM,UCC_C3,,"9/10, 9/17, 9/24",- Professor LI Yu,2026-08-15T01-53-13+08-00-full-term-1,
2420,7215,5,TUT,-T01,Th,05:30PM,06:15PM,Th 05:30PM - 06:15PM,UCC_C3,,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",- Professor LI Yu,2026-08-15T01-53-13+08-00-full-term-1,
2420,5095,1,LEC,-,Tu,12:30PM,02:15PM,Tu 12:30PM - 02:15PM,LSK_LT1,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Professor LIU Weiyang,2026-08-15T01-53-13+08-00-full-term-1,
2420,5095,2,LEC,-,We,02:30PM,03:15PM,We 02:30PM - 03:15PM,MMW_707,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Professor LIU Weiyang,2026-08-15T01-53-13+08-00-full-term-1,
2420,5095,3,TUT,-T01,We,01:30PM,02:15PM,We 01:30PM - 02:15PM,MMW_707,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Professor LIU Weiyang,2026-08-15T01-53-13+08-00-full-term-1,
2420,8131,1,PRJ,AJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor PAN Jialin,2026-08-15T01-53-13+08-00-full-term-1,
2420,8148,1,PRJ,AAJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor YOUNG Fung Yu,2026-08-15T01-53-13+08-00-full-term-1,
2420,6603,1,PRJ,ABJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor YU Bei,2026-08-15T01-53-13+08-00-full-term-1,
2420,6604,1,PRJ,ACJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Dr. CHAU Chuck Jee,2026-08-15T01-53-13+08-00-full-term-1,
2420,6218,1,PRJ,ADJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Dr. CHEONG Chi Hong,2026-08-15T01-53-13+08-00-full-term-1,
2420,8152,1,PRJ,AEJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Dr. CHUI Yim Pan,2026-08-15T01-53-13+08-00-full-term-1,
2420,8168,1,PRJ,AFJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Dr. KAM Ho Chuen,2026-08-15T01-53-13+08-00-full-term-1,
2420,8169,1,PRJ,AGJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Dr. LAM King Tin,2026-08-15T01-53-13+08-00-full-term-1,
2420,6324,1,PRJ,AHJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Dr. LAW Yat Chiu,2026-08-15T01-53-13+08-00-full-term-1,
2420,6230,1,PRJ,AIJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor LU Songtao,2026-08-15T01-53-13+08-00-full-term-1,
2420,8149,1,PRJ,AJJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Dr. SUM Kwok Wing,2026-08-15T01-53-13+08-00-full-term-1,
2420,6211,1,PRJ,AKJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Dr. YU Michael Ruisi,2026-08-15T01-53-13+08-00-full-term-1,
2420,8150,1,PRJ,ALJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Dr. TSANG Siu Chung,2026-08-15T01-53-13+08-00-full-term-1,
2420,8170,1,PRJ,AMJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor Lauren Marcelyn PICK,2026-08-15T01-53-13+08-00-full-term-1,
2420,8175,1,PRJ,ANJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor ZHANG Hanrui,2026-08-15T01-53-13+08-00-full-term-1,
2420,8117,1,PRJ,AOJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor XU Qiang,2026-08-15T01-53-13+08-00-full-term-1,
2420,8094,1,PRJ,APJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor KING Kuo Chin Irwin,2026-08-15T01-53-13+08-00-full-term-1,
2420,8171,1,PRJ,AQJ1,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor YUAN Yixuan,2026-08-15T01-53-13+08-00-full-term-1,
2420,4812,1,PRJ,BJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Staff,2026-08-15T01-53-13+08-00-full-term-1,
2420,6219,1,PRJ,CJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor CHENG James,2026-08-15T01-53-13+08-00-full-term-1,
2420,8134,1,PRJ,DJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor DOU Qi,2026-08-15T01-53-13+08-00-full-term-1,
2420,6209,1,PRJ,EJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor Farzan FARNIA,2026-08-15T01-53-13+08-00-full-term-1,
2420,6425,1,PRJ,FJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor FU Chi Wing,2026-08-15T01-53-13+08-00-full-term-1,
2420,8135,1,PRJ,GJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor LIANG Zhiding,2026-08-15T01-53-13+08-00-full-term-1,
2420,8136,1,PRJ,HJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor HO Tsung Yi,2026-08-15T01-53-13+08-00-full-term-1,
2420,8137,1,PRJ,IJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor LI Shaohua,2026-08-15T01-53-13+08-00-full-term-1,
2420,8139,1,PRJ,JJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor LIU Shengchao,2026-08-15T01-53-13+08-00-full-term-1,
2420,6322,1,PRJ,KJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Staff,2026-08-15T01-53-13+08-00-full-term-1,
2420,8140,1,PRJ,LJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor LEE Pak Ching,2026-08-15T01-53-13+08-00-full-term-1,
2420,8132,1,PRJ,MJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Dr. JIANG Yuli,2026-08-15T01-53-13+08-00-full-term-1,
2420,8141,1,PRJ,NJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor LI Yu,2026-08-15T01-53-13+08-00-full-term-1,
2420,8138,1,PRJ,OJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor LO Chi Lik Eric,2026-08-15T01-53-13+08-00-full-term-1,
2420,6217,1,PRJ,PJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor LYU Rung Tsong Michael,2026-08-15T01-53-13+08-00-full-term-1,
2420,8145,1,PRJ,QJ01,TBA,,,TBA,NRR,,07/09/2026 - 30/11/2026,- Professor MENG Wei,2026-08-15T01-53-13+08-00-full-term-1,
